Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2015,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2016,Total,Total,539,608,679,"1,146","4,370",-6.32%,10.55%,126.93%,167.13%
2016,Total,Bedsitter,420,458,595,s,137,-16.82%,30.71%,63.64%,50.00%
2016,Total,1 Bedroom,529,579,649,967,"2,326",1.22%,18.40%,228.91%,267.68%
2016,Total,Not Specified,-,-,-,-,173,-,-,-,-
2016,Total,2 Bedrooms,775,850,950,96,"1,109",.00%,21.43%,9.09%,3.23%
2016,Total,3 Bedrooms,950,1075,1220,44,471,-4.44%,18.13%,37.50%,15.79%
2016,Total,4 or more Bedrooms,1325,1500,1600,s,154,17.65%,25.00%,7.14%,-28.57%
2016,House,Total,796,950,1221,58,519,9.51%,7.65%,-43.14%,-3.33%
2016,House,Bedsitter,-,-,-,-,s,-,-,-,-
2016,House,1 Bedroom,-,-,-,-,53,-,-,-,-
2016,House,Not Specified,-,-,-,-,s,-,-,-,-
2016,House,2 Bedrooms,760,850,950,s,188,6.25%,11.48%,75.00%,31.25%
2016,House,3 Bedrooms,900,1050,1200,s,162,-4.55%,16.67%,13.33%,-10.53%
2016,House,4 or more Bedrooms,1338,1488,1625,s,93,23.96%,19.00%,.00%,-36.84%
2016,Other,Total,519,559,639,572,941,14.31%,5.67%,853.33%,580.95%
2016,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2016,Other,1 Bedroom,519,569,639,567,739,16.36%,7.56%,877.59%,591.46%
2016,Other,Not Specified,-,-,-,-,115,-,-,-,-
2016,Other,2 Bedrooms,-,-,-,-,37,-,-,-,-
2016,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2016,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2016,Townhouse,Total,800,950,1250,s,233,-10.59%,26.67%,75.00%,40.00%
2016,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2016,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2016,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2016,Townhouse,2 Bedrooms,-,-,-,-,80,-,-,-,-
2016,Townhouse,3 Bedrooms,-,-,-,-,95,-,-,-,-
2016,Townhouse,4 or more Bedrooms,-,-,-,-,38,-,-,-,-
2016,Flat/Unit,Total,561,619,700,495,"2,677",-3.13%,16.57%,49.55%,83.33%
2016,Flat/Unit,Bedsitter,425,458,578,s,97,-20.09%,30.71%,75.00%,27.27%
2016,Flat/Unit,1 Bedroom,559,608,659,393,"1,520",1.50%,24.97%,75.45%,125.86%
2016,Flat/Unit,Not Specified,-,-,-,-,41,-,-,-,-
2016,Flat/Unit,2 Bedrooms,794,868,956,68,804,2.06%,25.72%,-10.53%,-1.45%
2016,Flat/Unit,3 Bedrooms,1000,1050,1200,s,198,-1.18%,16.67%,50.00%,20.00%
2016,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2017,Total,Total,750,900,1050,"1,294","9,205",-3.23%,23.29%,-7.11%,13.61%
2017,Total,Bedsitter,-,-,-,-,63,-,-,-,-
2017,Total,1 Bedroom,700,750,790,462,"3,187",2.74%,26.05%,55.03%,11.59%
2017,Total,Not Specified,-,-,-,-,133,-,-,-,-
2017,Total,2 Bedrooms,900,970,1050,677,"4,918",-3.00%,24.36%,30.95%,13.78%
2017,Total,3 Bedrooms,1200,1330,1450,135,828,-3.62%,23.15%,15.38%,15.38%
2017,Total,4 or more Bedrooms,-,-,-,-,76,-,-,-,-
2017,House,Total,763,950,1185,38,359,5.56%,30.14%,-90.31%,8.57%
2017,House,Bedsitter,-,-,-,-,-,-,-,-,-
2017,House,1 Bedroom,-,-,-,-,69,-,-,-,-
2017,House,Not Specified,-,-,-,-,s,-,-,-,-
2017,House,2 Bedrooms,795,950,1000,s,162,4.40%,29.25%,-40.00%,-25.00%
2017,House,3 Bedrooms,-,-,-,-,68,-,-,-,-
2017,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2017,Other,Total,750,900,950,s,191,-25.00%,5.88%,-38.89%,100.00%
2017,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2017,Other,1 Bedroom,-,-,-,-,36,-,-,-,-
2017,Other,Not Specified,-,-,-,-,31,-,-,-,-
2017,Other,2 Bedrooms,900,950,950,s,84,-15.56%,11.76%,-18.75%,160.00%
2017,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2017,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2017,Townhouse,Total,1048,1300,1376,s,217,-7.14%,41.30%,22.22%,22.22%
2017,Townhouse,1 Bedroom,-,-,-,-,34,-,-,-,-
2017,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2017,Townhouse,2 Bedrooms,-,-,-,-,111,-,-,-,-
2017,Townhouse,3 Bedrooms,-,-,-,-,35,-,-,-,-
2017,Townhouse,4 or more Bedrooms,-,-,-,-,35,-,-,-,-
2017,Flat/Unit,Total,750,900,1050,"1,223","8,438",-3.23%,23.29%,27.93%,12.82%
2017,Flat/Unit,Bedsitter,-,-,-,-,41,-,-,-,-
2017,Flat/Unit,1 Bedroom,700,750,795,448,"3,048",2.74%,25.52%,61.15%,10.89%
2017,Flat/Unit,Not Specified,-,-,-,-,73,-,-,-,-
2017,Flat/Unit,2 Bedrooms,900,970,1050,646,"4,561",-3.00%,24.36%,36.29%,14.13%
2017,Flat/Unit,3 Bedrooms,1215,1350,1450,120,704,.00%,25.00%,26.32%,14.29%
2017,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,Total,Total,720,865,1000,479,"3,883",-1.70%,23.57%,-9.45%,11.40%
2018,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2018,Total,1 Bedroom,660,700,750,141,893,.00%,22.27%,36.89%,41.00%
2018,Total,Not Specified,-,-,-,-,91,-,-,-,-
2018,Total,2 Bedrooms,830,900,970,248,"2,150",.00%,23.29%,15.35%,-5.70%
2018,Total,3 Bedrooms,1150,1200,1300,70,624,-7.69%,25.00%,-12.50%,22.81%
2018,Total,4 or more Bedrooms,1330,1450,1625,s,109,7.41%,11.54%,15.38%,66.67%
2018,House,Total,850,1045,1281,38,421,16.11%,27.05%,-74.15%,18.75%
2018,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,House,Not Specified,-,-,-,-,s,-,-,-,-
2018,House,2 Bedrooms,-,-,-,-,108,-,-,-,-
2018,House,3 Bedrooms,944,1110,1200,s,182,-11.20%,23.33%,-26.32%,7.69%
2018,House,4 or more Bedrooms,-,-,-,-,82,-,-,-,-
2018,Other,Total,855,880,900,s,129,-10.20%,16.94%,-15.38%,37.50%
2018,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,Other,Not Specified,-,-,-,-,s,-,-,-,-
2018,Other,2 Bedrooms,-,-,-,-,53,-,-,-,-
2018,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,Townhouse,Total,-,-,-,-,85,-,-,-,-
2018,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
