Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2020,Total,3 Bedrooms,1150,1210,1300,126,990,-3.20%,27.37%,13.51%,-13.10%
2020,House,Total,800,910,1100,38,427,3.41%,21.33%,-74.15%,8.57%
2020,House,3 Bedrooms,813,1000,1100,s,198,6.67%,25.00%,25.00%,15.38%
2020,Other,Total,750,865,1244,s,165,-13.50%,9.49%,-44.83%,-11.11%
2020,Flat/Unit,Total,679,799,980,765,"4,589",-2.56%,10.59%,19.16%,37.59%
2020,Flat/Unit,1 Bedroom,579,680,739,393,"1,505",.15%,17.24%,48.30%,129.82%
2020,Flat/Unit,2 Bedrooms,890,950,1000,266,"2,306",5.56%,26.67%,1.92%,3.50%
2020,Flat/Unit,3 Bedrooms,1170,1230,1300,105,734,-1.60%,29.47%,15.38%,-16.67%
2021,Total,Total,500,700,1080,313,"3,578",-10.26%,7.69%,-4.86%,-3.69%
2021,Total,Bedsitter,368,433,470,40,349,1.76%,16.89%,135.29%,25.00%
2021,Total,1 Bedroom,475,575,650,121,"1,202",15.00%,27.78%,44.05%,2.54%
2021,Total,2 Bedrooms,750,895,1043,86,"1,042",-1.16%,9.09%,28.36%,-11.34%
2021,Total,3 Bedrooms,1263,1450,1638,54,615,-3.33%,20.83%,20.00%,8.00%
2021,Total,4 or more Bedrooms,1675,2000,2350,s,213,14.29%,35.59%,-29.41%,-50.00%
2021,House,Total,850,1200,1590,89,801,18.81%,9.09%,-47.65%,-1.11%
2021,House,2 Bedrooms,790,900,1150,s,232,-10.00%,-.55%,26.09%,-3.33%
2021,House,3 Bedrooms,1338,1463,1613,36,325,-5.65%,17.00%,38.46%,24.14%
2021,Townhouse,Total,1000,1163,1478,32,426,-8.82%,5.68%,60.00%,-15.79%
2021,Townhouse,2 Bedrooms,950,1000,1075,s,152,10.50%,11.11%,128.57%,60.00%
2021,Townhouse,3 Bedrooms,1350,1470,1850,s,193,-10.91%,25.11%,44.44%,-27.78%
2021,Flat/Unit,Total,470,580,713,188,"2,133",-3.33%,17.17%,37.23%,-2.08%
2021,Flat/Unit,Bedsitter,390,445,470,32,277,4.71%,20.27%,128.57%,18.52%
2021,Flat/Unit,1 Bedroom,475,575,650,110,"1,060",5.50%,27.78%,61.76%,5.77%
2021,Flat/Unit,2 Bedrooms,700,800,900,41,635,.00%,15.52%,13.89%,-26.79%
2022,Total,Total,700,850,1150,271,"3,139",.00%,17.24%,-.37%,-16.87%
